,popularity,song_name,artist_name
567,74,Bohemian Rhapsody - Remastered 2011,Queen
568,79,King For A Day,Pierce The Veil
569,77,Dile Que Tu Me Quieres,Ozuna
570,84,Ch y la Pizza,Fuerza Regida
571,75,Lo Que Siento,Cuco
572,82,Kings & Queens,Ava Max
573,77,Habits (Stay High),Tove Lo
574,82,Mas Altas Que Bajadas,Natanael Cano
575,82,Mas Rica Que Ayer,Anuel AA
576,85,Congratulations,Post Malone
577,75,Turn Yo Clic Up (feat. Future),Quavo
578,84,MY HOUSE,Beyoncé
579,73,Crazy Little Thing Called Love - Remastered 2011,Queen
580,85,UN PREVIEW,Bad Bunny
581,86,SEDA,Bad Bunny
582,74,Thank God It's Christmas - 2011 Remaster,Queen
583,84,TELEFONO NUEVO,Bad Bunny
584,83,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
585,75,2 On (feat. ScHoolboy Q),Tinashe
586,72,Mississippi Queen,Mountain
587,83,MERCEDES CAROTA,Bad Bunny
588,72,We Will Rock You - Remastered 2011,Queen
